DOI,Title,Matched Columns,Matched keywards
10.1109/ISCAS45731.2020.9180808,Analog Weight Updates with Compliance Current Modulation of Binary ReRAMs for On-Chip Learning,Abstract,low-power 
10.1109/ISCAS45731.2020.9180810,MemTorch: A Simulation Framework for Deep Memristive Cross-Bar Architectures,Abstract,resource-constrained
10.1109/ISCAS45731.2020.9180827,A Low-Spur Current-Biasing-Free Fractional-N Hybrid PLL for Low-Voltage Clock Generation,Abstract,quantization
10.1109/ISCAS45731.2020.9180832,OTA-Free MASH 2–2 Noise Shaping SAR ADC: System and Design Considerations,"Abstract, IEEE Terms","quantization, quantization"
10.1109/ISCAS45731.2020.9180833,All-Digital Calibration Algorithms to Correct for Static Non-Linearities in ADCs,IEEE Terms,quantization
10.1109/ISCAS45731.2020.9180835,Stochastic ΔΣ VCO-ADC Utilizing 4× Staggered Averaging,"Abstract, IEEE Terms","quantization, quantization"
10.1109/ISCAS45731.2020.9180843,Accelerating Tiny YOLOv3 using FPGA-Based Hardware/Software Co-Design,"Abstract, Abstract","energy consumption, real-time performance"
10.1109/ISCAS45731.2020.9180844,A Convolutional Neural Network Accelerator Architecture with Fine-Granular Mixed Precision Configurability,Abstract,quantization
10.1109/ISCAS45731.2020.9180849,A DPA-Resistant Asynchronous-Logic NoC Router with Dual-Supply-Voltage-Scaling for Multicore Cryptographic Applications,Abstract,energy-efficient
10.1109/ISCAS45731.2020.9180850,SHeFU: Secure Hardware-Enabled Protocol for Firmware Updates,Abstract,memory usage
10.1109/ISCAS45731.2020.9180855,Sub-1 V Output-Capacitor-Less Low-Dropout Regulator with Two Compensation Amplifiers for Enhanced Power Supply Rejection,Abstract,low-power 
10.1109/ISCAS45731.2020.9180856,"Low Quiescent Current, Capacitor-Less LDO with Adaptively Biased Power Transistors and Load Aware Feedback Resistance",Abstract,low-power 
10.1109/ISCAS45731.2020.9180857,"67ppm/°C, 66nA PVT Invariant Curvature Compensated Current Reference for Ultra-Low Power Applications",IEEE Terms,low-power 
10.1109/ISCAS45731.2020.9180858,"A 0.7-V, 192 pA Current Reference with 0.51%/V Line Regulation for Ultra-Low Power Applications",Abstract,low-power 
10.1109/ISCAS45731.2020.9180860,A Current Efficient 10mA Analog-Assisted Digital Low Dropout Regulator with Dynamic Clock Frequency in 65nm CMOS,Abstract,quantization
10.1109/ISCAS45731.2020.9180862,A Low-Voltage Split Memory Architecture for Binary Neural Networks,"Document Title, Abstract, Author Keywords, Author Keywords","binary neural networks, binary neural networks, quantization, bnn"
10.1109/ISCAS45731.2020.9180865,Zebra: Memory Bandwidth Reduction for CNN Accelerators with Zero Block Regularization of Activation Maps,Abstract,pruning
10.1109/ISCAS45731.2020.9180869,DC-LSTM: Deep Compressed LSTM with Low Bit-Width and Structured Matrices,"Abstract, Abstract, Author Keywords, IEEE Terms","quantization, pruning, model compression, quantization"
